-103866.577148438,	-0.216626,	-42.8026,	-31.9377,	-22.123,	16.4519,	-11.5562,
-103790.283203125,	30.1521,	47.0797,	34.5913,	31.4282,	-13.7716,	-14.9521,
-103713.989257812,	-42.1638,	-26.7417,	-27.8869,	-30.5523,	6.68669,	24.6207,
-103637.6953125,	39.7876,	-14.7671,	27.9053,	14.7069,	-9.74476,	-16.1357,
-103561.401367188,	-40.8822,	21.7301,	-27.2202,	0.484954,	4.66895,	-3.61291,
-103485.107421875,	30.5204,	2.49903,	15.0831,	3.98527,	-15.9955,	18.9831,
-103408.813476562,	-2.25232,	-22.4109,	-10.5746,	-6.13857,	51.7419,	-11.9825,
-103332.51953125,	-16.6253,	34.4703,	10.7103,	-5.1038,	-61.5914,	-6.57838,
-103256.225585938,	4.4193,	-29.1871,	6.72626,	9.52614,	34.1482,	7.56007,
-103179.931640625,	9.30867,	16.7046,	-18.6674,	-2.99605,	-1.05554,	20.6002,
-103103.637695312,	7.29326,	-12.0934,	9.04249,	-8.54036,	-14.1179,	-42.6982,
-103027.34375,	-20.0035,	12.2794,	1.83504,	20.8267,	9.5736,	28.9657,
-102951.049804688,	15.349,	-21.3142,	-14.6302,	-12.6552,	-0.567188,	-6.55764,
-102874.755859375,	-1.97323,	13.8833,	28.5168,	-8.55381,	-7.54006,	-8.65456,
-102798.461914062,	-13.994,	21.1317,	-25.9593,	11.706,	19.7727,	20.2838,
-102722.16796875,	-4.87675,	-42.3638,	17.8218,	-8.69186,	-19.983,	-18.5168,
-102645.874023438,	30.4055,	32.6638,	-15.7096,	13.6819,	10.2864,	11.2615,
-102569.580078125,	-10.137,	-18.9252,	3.98825,	-22.0496,	-14.4001,	-1.19442,
